"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"W5KJ76","unreviewed","idh2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; tricarboxylic acid cycle [GO:0006099]","","isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]","GO:0000287; GO:0004450; GO:0006097; GO:0006099; GO:0006102; GO:0051287"
"A0A3B1J453","unreviewed","kcnd3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]","dendrite [GO:0030425]; voltage-gated potassium channel complex [GO:0008076]","voltage-gated potassium channel activity [GO:0005249]","GO:0005249; GO:0008076; GO:0030425; GO:0034765; GO:0051260"
"A0A3B1J966","unreviewed","frmd1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoskeleton [GO:0005856]","","GO:0005856"
"A0A3B1KIR0","unreviewed","lrrc2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KAB7","unreviewed","slc45a4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0016021; GO:0022857"
"A0A3B1IWM9","unreviewed","dxo","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","exonuclease activity [GO:0004527]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]","GO:0000166; GO:0003723; GO:0004527; GO:0005634; GO:0046872"
"W5KJJ2","unreviewed","pcdh8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005886; GO:0007156; GO:0016021"
"W5LQG1","unreviewed","map3k11","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"A0A3B1JN58","unreviewed","gfra1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","plasma membrane [GO:0005886]","signaling receptor activity [GO:0038023]","GO:0005886; GO:0038023"
"W5LAQ7","unreviewed","abca1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]","GO:0005524; GO:0016021; GO:0042626"
"A0A3B1K0Y0","unreviewed","fmn2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin nucleation [GO:0045010]","actin filament [GO:0005884]","microtubule binding [GO:0008017]","GO:0005884; GO:0008017; GO:0045010"
"A0A3B1JW46","unreviewed","acvr1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","ATP binding [GO:0005524]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]","GO:0004675; GO:0005524; GO:0016021"
"A0A3B1J408","unreviewed","rims2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","exocytosis [GO:0006887]; intracellular protein transport [GO:0006886]","membrane [GO:0016020]; synapse [GO:0045202]","metal ion binding [GO:0046872]; small GTPase binding [GO:0031267]","GO:0006886; GO:0006887; GO:0016020; GO:0031267; GO:0045202; GO:0046872"
"A0A3B1JMP5","unreviewed","cibar2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JN71","unreviewed","dohh","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","peptidyl-lysine modification to peptidyl-hypusine [GO:0008612]","","deoxyhypusine monooxygenase activity [GO:0019135]; metal ion binding [GO:0046872]","GO:0008612; GO:0019135; GO:0046872"
"A0A3B1JHF0","unreviewed","macf1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intermediate filament cytoskeleton organization [GO:0045104]","cell projection [GO:0042995]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]","actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]","GO:0003779; GO:0005509; GO:0005737; GO:0005874; GO:0008017; GO:0016020; GO:0042995; GO:0045104"
"W5LHX6","unreviewed","lrp8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","endocytosis [GO:0006897]","integral component of membrane [GO:0016021]","calcium ion binding [GO:0005509]","GO:0005509; GO:0006897; GO:0016021"
"A0A3B1JRA5","unreviewed","tsc22d2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","","","GO:0006357"
"W5LCE9","unreviewed","mterf1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","","double-stranded DNA binding [GO:0003690]","GO:0003690; GO:0006355"
"A0A3B1K424","unreviewed","kcnj10","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of ion transmembrane transport [GO:0034765]","integral component of membrane [GO:0016021]","inward rectifier potassium channel activity [GO:0005242]","GO:0005242; GO:0016021; GO:0034765"
"A0A3B1JLP1","unreviewed","lurap1l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]","","","GO:0043123"
"A0A3B1J465","unreviewed","cpq","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","metallodipeptidase activity [GO:0070573]","GO:0005576; GO:0070573"
"A0A3B1K350","unreviewed","c11orf54","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","metal ion binding [GO:0046872]","GO:0005634; GO:0046872"
"A0A3B1JF19","unreviewed","csnk1d","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"A0A3B1JCY4","unreviewed","ntn1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]; integral component of membrane [GO:0016021]","","GO:0005576; GO:0016021"
"A0A3B1JTJ9","unreviewed","cyp19a1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","GO:0004497; GO:0005506; GO:0016021; GO:0016705; GO:0020037"
"W5LF21","unreviewed","retsat","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K7C2","unreviewed","eef1akmt1 n6amt2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","nucleic acid binding [GO:0003676]; protein-lysine N-methyltransferase activity [GO:0016279]","GO:0003676; GO:0005737; GO:0016279"
"A0A3B1K5X8","unreviewed","phyhip","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KA64","unreviewed","xpo5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","nuclear export [GO:0051168]","","","GO:0051168"
"W5K0V4","unreviewed","vsig10","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1JKK6","unreviewed","c14orf132","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1IG62","unreviewed","haao","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]","cytoplasm [GO:0005737]","3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]; ferrous iron binding [GO:0008198]","GO:0000334; GO:0005737; GO:0006569; GO:0008198; GO:0019805; GO:0034354; GO:0043420"
"A0A3B1JNH4","unreviewed","doc2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","chemical synaptic transmission [GO:0007268]; regulation of calcium ion-dependent exocytosis [GO:0017158]","membrane [GO:0016020]; synapse [GO:0045202]","calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]","GO:0005509; GO:0005544; GO:0007268; GO:0016020; GO:0017158; GO:0045202"
"W5KJ54","unreviewed","aopep","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleolus [GO:0005730]","metalloaminopeptidase activity [GO:0070006]; zinc ion binding [GO:0008270]","GO:0005730; GO:0008270; GO:0070006"
"W5L4Y7","unreviewed","erg28","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lipid metabolic process [GO:0006629]","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]","","GO:0005789; GO:0006629; GO:0016021"
"A0A3B1KIB2","unreviewed","cacng5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of ion transmembrane transport [GO:0034765]","integral component of membrane [GO:0016021]","calcium channel activity [GO:0005262]; voltage-gated ion channel activity [GO:0005244]","GO:0005244; GO:0005262; GO:0016021; GO:0034765"
"W5LIQ7","unreviewed","atg2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","autophagy [GO:0006914]","endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; phagophore assembly site membrane [GO:0034045]","","GO:0005789; GO:0005811; GO:0006914; GO:0034045"
"W5KMP8","unreviewed","iws1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","","GO:0005634"
"A0A3B1J6G4","unreviewed","arhgap6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","signal transduction [GO:0007165]","","","GO:0007165"
"W5KEW3","unreviewed","tenm2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","signal transduction [GO:0007165]","cell projection [GO:0042995]; integral component of plasma membrane [GO:0005887]","","GO:0005887; GO:0007165; GO:0042995"
"W5KAE1","unreviewed","cdkl2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]","GO:0004672; GO:0005524"
"A0A3B1J5L6","unreviewed","eml4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1J1K3","unreviewed","prr5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1IYQ5","unreviewed","ppp1r27","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LPS1","unreviewed","adgrl3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell surface receptor signaling pathway [GO:0007166]","axon [GO:0030424]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0005886; GO:0007166; GO:0016021; GO:0030246; GO:0030424"
"A0A3B1IST9","unreviewed","bdkrb2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","smooth muscle contraction [GO:0006939]; vasoconstriction [GO:0042310]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","bradykinin receptor activity [GO:0004947]","GO:0004947; GO:0005886; GO:0006939; GO:0016021; GO:0042310"
"A0A3B1IWA0","unreviewed","kcnk4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","potassium channel activity [GO:0005267]","GO:0005267; GO:0016021"
"A0A3B1JKP7","unreviewed","kcnma1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","large conductance calcium-activated potassium channel activity [GO:0060072]","GO:0060072"
"A0A3B1K4M7","unreviewed","srcin1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of cell migration [GO:0030334]; regulation of dendritic spine morphogenesis [GO:0061001]; substrate adhesion-dependent cell spreading [GO:0034446]","","","GO:0030334; GO:0034446; GO:0061001"
"W5K672","unreviewed","ap2a2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","clathrin-dependent endocytosis [GO:0072583]; intracellular protein transport [GO:0006886]","AP-2 adaptor complex [GO:0030122]","clathrin adaptor activity [GO:0035615]","GO:0006886; GO:0030122; GO:0035615; GO:0072583"
"W5KPD2","unreviewed","sptbn1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin filament capping [GO:0051693]","spectrin [GO:0008091]","actin binding [GO:0003779]; phospholipid binding [GO:0005543]; structural constituent of cytoskeleton [GO:0005200]","GO:0003779; GO:0005200; GO:0005543; GO:0008091; GO:0051693"
"A0A3B1K5E4","unreviewed","tcf12","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","protein dimerization activity [GO:0046983]","GO:0046983"
"W5LBY3","unreviewed","fam210a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5K2N3","unreviewed","gatad2b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","negative regulation of transcription by RNA polymerase II [GO:0000122]","nucleus [GO:0005634]","sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]","GO:0000122; GO:0005634; GO:0008270; GO:0043565"
"A0A3B1JR45","unreviewed","timp3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","enzyme inhibitor activity [GO:0004857]; metalloendopeptidase inhibitor activity [GO:0008191]","GO:0004857; GO:0005576; GO:0008191"
"A0A3B1JX42","unreviewed","eif3g eif3s4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","formation of cytoplasmic translation initiation complex [GO:0001732]","eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]","translation initiation factor activity [GO:0003743]","GO:0001732; GO:0003743; GO:0005852; GO:0016282; GO:0033290"
"W5K078","unreviewed","gan","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cytoskeleton organization [GO:0007010]","","","GO:0007010"
"A0A3B1INL8","unreviewed","cdh2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; regulation of signal transduction [GO:0009966]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005886; GO:0007156; GO:0009966; GO:0016021"
"W5KZW3","unreviewed","dmxl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1KBS0","unreviewed","rsbn1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]","GO:0005634; GO:0046872; GO:0051213"
"W5LCR6","unreviewed","phlpp2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","phosphatase activity [GO:0016791]","GO:0016791"
"A0A3B1JU47","unreviewed","src","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]","GO:0004714; GO:0004715; GO:0005524"
"W5L3H4","unreviewed","c5orf22","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JQ85","unreviewed","caskin2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","","GO:0005737"
"A0A3B1K4H4","unreviewed","aars","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","alanyl-tRNA aminoacylation [GO:0006419]","cytoplasm [GO:0005737]","alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]","GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270"
"W5L1V5","unreviewed","tns1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cell junction [GO:0030054]","","GO:0030054"
"A0A3B1KGH3","unreviewed","trhr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","thyrotropin-releasing hormone receptor activity [GO:0004997]","GO:0004997; GO:0005886; GO:0016021"
"A0A3B1JQ76","unreviewed","frmd4a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]","","GO:0005737; GO:0005856"
"W5LUV5","unreviewed","p2ry6","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]","integral component of membrane [GO:0016021]","G protein-coupled purinergic nucleotide receptor activity [GO:0045028]","GO:0007200; GO:0016021; GO:0045028"
"W5K5L3","unreviewed","ak2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","ADP biosynthetic process [GO:0006172]; AMP metabolic process [GO:0046033]; ATP metabolic process [GO:0046034]; hematopoietic stem cell differentiation [GO:0060218]; leukocyte differentiation [GO:0002521]","mitochondrial intermembrane space [GO:0005758]","adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]","GO:0002521; GO:0004017; GO:0005524; GO:0005758; GO:0006172; GO:0046033; GO:0046034; GO:0060218"
